,id,title,type,release_year,age_certification,runtime,genres,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
1033,tm119153,The Right of the People,MOVIE,1986,,100,['drama'],0.0,5.7,148.0,1.4580000000000002,4.0
1034,tm132591,Ministry of Vengeance,MOVIE,1989,R,96,"['action', 'thriller']",0.0,3.9,277.0,1.78,
1035,tm140052,Bridge to Silence,MOVIE,1989,,100,"['romance', 'drama']",0.0,6.2,241.0,1.146,6.0
1036,tm130932,The Assisi Underground,MOVIE,1985,PG,115,"['drama', 'history', 'war']",0.0,5.9,372.0,3.072,6.0
1037,tm136097,The Secret of the Ice Cave,MOVIE,1989,PG-13,106,['action'],0.0,4.6,105.0,0.9540000000000001,
1038,tm47115,The Wizard of Loneliness,MOVIE,1988,PG-13,111,['drama'],0.0,5.9,262.0,1.837,6.3
1039,tm165374,The Census Taker,MOVIE,1984,,95,"['comedy', 'crime']",0.0,5.4,191.0,1.0759999999999998,8.0
1040,tm124603,Separate Ways,MOVIE,1981,R,92,['drama'],0.0,4.6,218.0,1.9609999999999999,5.8
1041,tm24474,Hotel Colonial,MOVIE,1987,R,92,"['thriller', 'drama']",0.0,4.1,275.0,1.348,5.1
1042,tm46961,Twilight Time,MOVIE,1982,PG,102,"['drama', 'family']",0.0,6.0,203.0,0.84,6.0
1043,tm135847,The Case of the Hillside Stranglers,MOVIE,1989,,90,"['thriller', 'crime', 'drama']",0.0,6.0,688.0,4.726,6.7
1044,tm166988,Calendar Girl Murders,MOVIE,1984,,100,"['thriller', 'crime', 'drama']",0.0,4.7,798.0,2.546,4.3
1045,tm205462,Baby Cat,MOVIE,1983,R,80,"['comedy', 'european']",0.0,3.3,124.0,1.054,3.0
1046,tm40169,In the Custody of Strangers,MOVIE,1982,,91,['drama'],0.0,6.4,415.0,1.933,6.9
1047,tm64825,Through Naked Eyes,MOVIE,1983,,91,['thriller'],0.0,5.6,219.0,1.625,4.0
1048,tm131767,From Hollywood to Deadwood,MOVIE,1989,R,102,['crime'],0.0,5.8,74.0,1.21,
1049,tm60212,Carpool,MOVIE,1983,,100,"['action', 'comedy']",0.0,5.1,125.0,1.6369999999999998,
1050,tm154043,The Love She Sought,MOVIE,1990,,100,['drama'],0.0,7.2,873.0,1.23,6.0
1051,tm123365,Brass,MOVIE,1985,PG,100,"['crime', 'drama']",0.0,6.0,100.0,0.675,
1052,tm139928,Lady in the Corner,MOVIE,1989,,90,['drama'],0.0,6.2,103.0,0.6,
1053,tm23835,"Slate, Wyn & Me",MOVIE,1987,R,87,"['crime', 'drama', 'romance', 'action']",0.0,4.4,67.0,0.6,
1054,tm342130,Three Kinds of Heat,MOVIE,1987,R,88,"['action', 'comedy']",0.0,4.0,122.0,1.568,5.3
1055,tm138491,Wild Zone,MOVIE,1989,R,100,['action'],0.0,4.4,39.0,0.8109999999999999,
1056,tm129988,Callie & Son,MOVIE,1981,,142,['drama'],0.0,5.3,314.0,1.976,7.7
1057,tm353110,Drop-Out Mother,MOVIE,1988,,95,['comedy'],0.0,5.6,58.0,0.602,4.5
1058,tm119033,Revolt,MOVIE,1986,,72,['thriller'],0.0,,,1.4380000000000002,5.4
1059,tm118110,Beverly Hills Madam,MOVIE,1986,PG-13,97,['drama'],0.0,5.4,372.0,2.077,5.0
1060,tm113983,Foreign Body,MOVIE,1986,PG-13,111,['comedy'],0.0,6.0,292.0,1.7080000000000002,4.9
1061,tm40627,The Perfect Match,MOVIE,1988,PG-13,92,"['comedy', 'romance']",0.0,4.7,117.0,1.031,
1062,tm124710,Flying Devils,MOVIE,1985,PG-13,115,"['drama', 'european']",0.0,4.7,40.0,2.0069999999999997,
1063,tm203653,Soldier of the Night,MOVIE,1984,R,86,"['horror', 'drama']",0.0,5.1,26.0,0.9690000000000001,
1064,tm127736,Joe Dancer: The Big Black Pill,MOVIE,1981,,100,"['crime', 'drama']",0.0,5.4,78.0,0.6,5.5
1065,tm41521,Slipping Into Darkness,MOVIE,1988,R,87,['thriller'],0.0,3.9,145.0,0.807,2.0
1066,tm128843,Joe Dancer II: The Monkey Mission,MOVIE,1981,,120,"['crime', 'drama']",0.0,6.1,57.0,1.4869999999999999,6.0
1067,tm19767,You Talkin' To Me?,MOVIE,1987,R,97,['comedy'],0.0,4.0,1070.0,1.4,2.0
1068,tm21936,Fight for Life,MOVIE,1987,,94,['drama'],0.0,5.7,197.0,1.5130000000000001,5.5
1069,tm119355,Samaritan: The Mitch Snyder Story,MOVIE,1986,,90,['drama'],0.0,6.6,116.0,1.7380000000000002,
1070,ts20981,Survivor,SHOW,2000,TV-PG,48,['reality'],42.0,7.4,24368.0,73.107,7.3
1071,tm192682,The Fifth Element,MOVIE,1997,PG-13,126,"['thriller', 'fantasy', 'scifi', 'action', 'european']",0.0,7.6,463640.0,39.211,7.5
1072,ts20951,SpongeBob SquarePants,SHOW,1999,TV-Y7,19,"['scifi', 'animation', 'comedy', 'family', 'fantasy']",13.0,8.2,94527.0,18.085,7.6
1073,tm112130,Pulp Fiction,MOVIE,1994,R,154,"['thriller', 'crime', 'drama']",0.0,8.9,1982722.0,55.923,8.5
1074,tm191110,Titanic,MOVIE,1997,PG-13,194,"['drama', 'romance']",0.0,7.9,1133692.0,127.413,7.9
1075,ts1208,Frasier,SHOW,1993,TV-PG,25,['comedy'],11.0,8.2,82021.0,78.118,7.7
1076,tm28243,The Gift,MOVIE,2000,R,112,"['drama', 'thriller', 'documentation', 'action', 'fantasy', 'horror', 'european']",0.0,6.7,67946.0,14.202,6.4
